City,Country,Latitude,Longitude,Date,Cloudiness (%),Humidity (%),Max Temperature (°C),Wind Speed (m/s)
Bluff,NZ,-46.6,168.3333,1619514491,89,87,6.11,0.45
Kloulklubed,PW,7.0419,134.2556,1619514491,75,78,28.0,2.57
Izumo,JP,35.3667,132.7667,1619514416,75,60,20.0,6.17
Carnarvon,AU,-24.8667,113.6333,1619514491,0,69,27.0,5.14
Upernavik,GL,72.7868,-56.1549,1619514491,100,85,1.1,8.58
Lavrentiya,RU,65.5833,-171.0,1619514492,31,96,-4.92,0.73
Senador Guiomard,BR,-10.1522,-67.7392,1619514492,0,100,21.0,1.54
Pisco,PE,-13.7,-76.2167,1619514492,0,92,16.11,0.61
Fairbanks,US,64.8378,-147.7164,1619514492,1,35,4.0,3.09
Avarua,CK,-21.2078,-159.775,1619514492,94,100,22.0,1.03
Thompson,CA,55.7435,-97.8558,1619514492,90,93,0.0,6.17
Sarlat-la-Canéda,FR,44.889,1.2166,1619514493,98,75,13.89,0.45
Provideniya,RU,64.3833,-173.3,1619514493,5,88,0.37,1.82
Hong Kong,HK,22.2855,114.1577,1619514356,100,89,24.44,0.45
Hobart,AU,-42.8794,147.3294,1619514494,20,67,14.0,2.57
Norman Wells,CA,65.282,-126.8329,1619514494,20,78,-18.0,1.54
Hermanus,ZA,-34.4187,19.2345,1619514454,67,86,18.33,3.99
Gwanda,ZW,-20.9333,29.0,1619514494,0,21,28.92,3.24
Verkhoyansk,RU,67.5447,133.385,1619514494,100,97,-0.68,3.0
Saint-Pierre,RE,-21.3393,55.4781,1619514305,90,78,26.0,10.29
Longyearbyen,SJ,78.2186,15.6401,1619514495,40,62,-8.0,4.63
Katsuura,JP,35.1333,140.3,1619514495,75,67,18.33,9.26
Vila Velha,BR,-20.3297,-40.2925,1619514495,0,94,23.0,1.03
Maceió,BR,-9.6658,-35.7353,1619514417,0,100,22.0,1.54
Port Hardy,CA,50.6996,-127.4199,1619514495,75,93,8.0,2.06
Bathsheba,BB,13.2167,-59.5167,1619514496,75,65,26.0,7.2
George Town,MY,5.4112,100.3354,1619514359,20,70,30.0,2.06
Ishigaki,JP,24.3448,124.1572,1619514258,75,57,25.0,4.12
Cherskiy,RU,68.75,161.3,1619514497,25,87,-9.35,0.97
Mweka,CD,-4.85,21.5667,1619514497,96,56,29.83,1.2
Yilan,TW,24.757,121.753,1619514497,75,88,25.0,2.06
Elko,US,41.0002,-115.5012,1619514497,1,80,-0.56,1.26
Tuatapere,NZ,-46.1333,167.6833,1619514498,99,87,6.11,0.45
Nanortalik,GL,60.1432,-45.2371,1619514498,43,92,0.49,4.41
Broome,US,42.2506,-75.833,1619514498,90,80,1.67,3.6
Cabo San Lucas,MX,22.8909,-109.9124,1619514498,100,56,21.11,6.96
Filingué,NE,14.3521,3.3168,1619514498,30,18,36.81,1.54
New Norfolk,AU,-42.7826,147.0587,1619514508,3,80,12.78,1.45
Kokstad,ZA,-30.5472,29.4241,1619514509,72,22,23.88,4.51
Humboldt,US,40.6665,-123.9178,1619514509,1,100,4.44,2.57
Doha,QA,25.2867,51.5333,1619514440,64,30,40.0,5.14
Salé,MA,34.0389,-6.8166,1619514509,75,72,19.0,5.66
Putina,PE,-15.4667,-69.4333,1619514509,7,65,3.75,2.13
Castle Rock,US,39.3722,-104.8561,1619514509,100,33,11.11,1.34
Torbay,CA,47.6666,-52.7314,1619514509,90,100,7.22,10.29
Gore,NZ,-46.1028,168.9436,1619514510,98,87,6.11,0.45
Bredasdorp,ZA,-34.5322,20.0403,1619514510,74,82,17.0,3.09
Ambilobe,MG,-13.2,49.05,1619514510,76,49,32.48,2.45
Popondetta,PG,-8.7537,148.2534,1619514463,82,97,23.36,0.95
Slave Lake,CA,55.2834,-114.769,1619514510,75,93,-5.0,2.06
Guerrero Negro,MX,27.9769,-114.0611,1619514510,7,80,14.38,5.27
Kaitangata,NZ,-46.2817,169.8464,1619514510,97,83,6.67,0.89
Grand-Santi,GF,4.25,-54.3833,1619514511,100,99,22.81,0.07
Sterling,US,39.0062,-77.4286,1619514511,75,81,8.33,0.68
Necochea,AR,-38.5473,-58.7368,1619514511,0,87,10.97,3.41
Havøysund,NO,70.9963,24.6622,1619514511,75,64,0.0,1.54
Haines Junction,CA,60.7522,-137.5108,1619514511,82,59,0.0,1.54
Santa Isabel,BR,-23.3156,-46.2214,1619514511,90,100,17.0,0.87
Beaverlodge,CA,55.2166,-119.4361,1619514511,90,86,-4.0,6.17
Plastun,RU,44.7561,136.2939,1619514511,99,69,7.85,1.5
Butaritari,KI,3.0707,172.7902,1619514512,36,77,27.85,5.24
Hofn,IS,64.2539,-15.2082,1619514512,10,66,3.78,0.63
Port Hedland,AU,-20.3167,118.5667,1619514511,0,22,32.0,3.6
Tarakan,ID,3.3,117.6333,1619514500,40,62,32.0,1.54
Prince George,CA,53.9166,-122.753,1619514513,1,42,6.0,3.09
Kahului,US,20.8947,-156.47,1619514442,1,88,19.0,1.13
Leningradskiy,RU,69.3833,178.4167,1619514513,100,94,-2.85,1.02
Kolosovka,RU,56.4678,73.611,1619514514,99,32,15.21,7.03
Maturin,VE,9.75,-63.1767,1619514499,69,90,23.19,1.97
Myaundzha,RU,63.0494,147.1858,1619514514,77,91,-8.04,1.58
Bonthe,SL,7.5264,-12.505,1619514514,88,72,28.29,3.32
Jamestown,US,42.097,-79.2353,1619514514,90,36,8.0,4.12
Khatanga,RU,71.9667,102.5,1619514514,100,93,-1.03,7.69
Waitati,NZ,-45.75,170.5667,1619514514,86,73,7.22,3.13
Muros,ES,42.7762,-9.0603,1619514515,30,78,14.44,2.67
Manacapuru,BR,-3.2997,-60.6206,1619514515,40,94,23.0,1.03
Pangnirtung,CA,66.1451,-65.7125,1619514515,100,96,-3.9,2.46
Faanui,PF,-16.4833,-151.75,1619514515,14,71,27.39,4.88
Talnakh,RU,69.4865,88.3972,1619514444,11,79,-1.11,5.54
Saint George,US,37.1041,-113.5841,1619514515,90,87,8.0,5.14
Belmonte,BR,-15.8631,-38.8828,1619514515,20,94,20.0,2.06
Port Elizabeth,ZA,-33.918,25.5701,1619514516,0,60,21.0,8.23
Sahuaripa,MX,29.05,-109.2333,1619514516,54,42,18.02,2.37
Saint-Philippe,RE,-21.3585,55.7679,1619514516,90,78,27.0,10.29
Arraial do Cabo,BR,-22.9661,-42.0278,1619514491,75,94,23.0,4.63
Bambanglipuro,ID,-7.95,110.2833,1619514492,77,72,28.39,6.82
Lüderitz,NA,-26.6481,15.1594,1619514516,96,49,21.23,4.53
Bethel,US,41.3712,-73.414,1619514526,75,36,7.0,1.54
Grindavik,IS,63.8424,-22.4338,1619514526,90,81,7.0,4.63
Kawalu,ID,-7.3817,108.2082,1619514527,81,69,27.5,2.64
Lázaro Cárdenas,MX,17.9583,-102.2,1619514404,100,80,23.59,1.33
São Filipe,CV,14.8961,-24.4956,1619514514,21,77,21.68,3.01
Quelimane,MZ,-17.8786,36.8883,1619514441,75,83,28.0,1.54
Mahébourg,MU,-20.4081,57.7,1619514474,75,100,24.0,6.69
Sālūmbar,IN,24.1333,74.05,1619514467,2,9,39.0,2.06
Iskateley,RU,67.6803,53.1512,1619514527,100,84,-0.82,7.18
Buchanan,LR,5.8808,-10.0467,1619514527,75,89,27.0,1.94
Mwense,ZM,-10.3845,28.698,1619514528,71,57,27.03,1.66
Pangai,TO,-19.8,-174.35,1619514528,100,91,25.74,10.52
Sept-Îles,CA,50.2001,-66.3821,1619514454,90,93,5.0,5.66
Ostrovnoy,RU,68.0531,39.5131,1619514528,100,64,-0.15,2.96
Thinadhoo,MV,0.5333,72.9333,1619514516,21,64,28.25,1.74
Ihosy,MG,-22.4,46.1167,1619514529,10,52,27.06,3.22
Rajanpur,PK,29.1035,70.325,1619514418,0,5,42.82,2.56
Luan,CH,46.3592,6.9759,1619514529,40,62,13.0,3.09
Mosal'sk,RU,54.4881,34.9817,1619514529,100,51,5.27,5.2
Kirakira,SB,-10.4544,161.9205,1619514529,100,87,25.6,3.21
Tiksi,RU,71.6872,128.8694,1619514529,95,90,-9.91,1.75
Chabahar,IR,25.2919,60.643,1619514529,30,50,31.72,6.47
Ereymentau,KZ,51.6199,73.1033,1619514530,100,61,14.47,3.24
Pabradė,LT,55.0,25.7833,1619514530,75,87,2.22,4.12
Bilma,NE,18.6853,12.9164,1619514530,5,9,36.3,6.73
Marsaxlokk,MT,35.8419,14.5431,1619514530,20,73,21.0,4.12
San Nicolas,PH,18.1725,120.5953,1619514449,40,58,30.0,2.06
Vanimo,PG,-2.6741,141.3028,1619514530,3,80,26.78,1.94
Batagay-Alyta,RU,67.8006,130.4114,1619514530,100,90,-7.08,5.23
Albany,US,42.6001,-73.9662,1619514530,98,47,5.0,2.16
Gimbi,ET,9.1667,35.8333,1619514531,93,60,19.56,1.6
Granja,BR,-3.1203,-40.8261,1619514434,95,97,22.0,1.96
Baruun-Urt,MN,46.6806,113.2792,1619514422,99,24,5.7,10.33
Dakar,SN,14.6937,-17.4441,1619514435,0,94,20.0,3.09
Hobyo,SO,5.3505,48.5268,1619514531,99,59,31.14,4.65
Taoudenni,ML,22.6783,-3.9836,1619514531,9,10,34.92,3.81
Machalí,CL,-34.1833,-70.6667,1619514531,0,35,13.97,0.89
Bambous Virieux,MU,-20.3428,57.7575,1619514532,75,100,26.11,6.69
Khor,RU,47.8861,134.9464,1619514532,99,31,18.18,3.53
Narsaq,GL,60.9167,-46.05,1619514532,75,93,2.0,1.54
Agadez,NE,19.75,10.25,1619514517,0,9,34.06,1.36
Hambantota,LK,6.1241,81.1185,1619514517,40,70,32.0,4.63
Mudanjiang,CN,44.5833,129.6,1619514528,100,88,11.19,4.97
Erzin,TR,36.9559,36.2,1619514533,4,82,20.56,5.36
Goundam,ML,16.4145,-3.6708,1619514533,0,10,36.34,5.84
Iqaluit,CA,63.7506,-68.5145,1619514518,20,73,-9.0,3.09
Adana Province,TR,36.985,35.2881,1619514501,20,44,25.0,2.57
Honggang,CN,46.4667,124.8667,1619514456,89,19,17.78,7.73
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1619514485,90,100,2.0,3.0
Stephenville,US,32.2207,-98.2023,1619514534,75,78,21.0,5.66
Koslan,RU,63.4564,48.8989,1619514534,100,93,3.08,2.02
Clyde River,CA,70.4692,-68.5914,1619514534,90,100,-4.0,1.54
Humaitá,BR,-7.5061,-63.0208,1619514471,100,99,22.19,1.18
Dāmghān,IR,36.1683,54.348,1619514487,77,15,30.12,2.57
Severo-Kuril'sk,RU,50.6789,156.125,1619514544,100,97,1.54,6.34
Sedona,US,34.8697,-111.761,1619514544,90,50,10.0,3.6
Alençon,FR,48.4333,0.0833,1619514545,0,50,12.0,3.09
Fortuna,US,40.5982,-124.1573,1619514545,1,100,6.11,2.57
Solnechnyy,RU,50.7214,136.6319,1619514546,75,37,12.45,3.35
Jever,DE,53.5833,7.9,1619514546,20,34,11.11,5.14
Poli,TZ,-3.3333,36.8,1619514546,75,83,24.0,2.33
Atar,MR,20.5169,-13.0499,1619514442,81,14,28.9,2.58
Nachingwea,TZ,-10.3833,38.7667,1619514546,78,70,27.29,1.61
Cidreira,BR,-30.1811,-50.2056,1619514546,73,76,16.36,4.11
Mundo Nuevo (Ojo de Agua),MX,18.7,-95.5,1619514546,2,84,25.09,3.71
Luena,AO,-11.7833,19.9167,1619514409,40,78,23.0,3.09
Ifakara,TZ,-8.1333,36.6833,1619514468,68,75,27.92,0.59
Sulangan,PH,11.1373,123.7228,1619514547,11,67,28.09,4.79
Elhovo,BG,42.1667,26.5667,1619514547,75,51,16.0,2.06
Nikolskoye,RU,59.7035,30.7861,1619514547,90,81,4.0,4.0
Marystown,CA,47.1666,-55.1483,1619514547,100,98,4.74,5.9
Tateyama,JP,34.9833,139.8667,1619514547,75,52,18.33,6.69
St. George's,GD,12.0564,-61.7485,1619514480,75,88,25.0,4.12
Flagstaff,US,35.1981,-111.6513,1619514469,90,93,3.33,7.72
Cam Ranh,VN,11.9214,109.1591,1619514444,20,70,31.0,3.6
Pevek,RU,69.7008,170.3133,1619514548,100,97,-3.31,3.96
Farnes,NO,61.3167,7.8,1619514548,75,48,2.0,3.09
Luganville,VU,-15.5333,167.1667,1619514548,84,76,24.47,3.94
Banjarmasin,ID,-3.3244,114.591,1619513989,20,83,27.0,0.49
Nowy Sącz,PL,49.6218,20.6971,1619514548,6,49,7.78,1.79
Seoul,KR,37.5683,126.9778,1619514197,0,51,18.0,5.14
Beloha,MG,-25.1667,45.05,1619514549,0,33,33.02,1.63
Zhuanghe,CN,39.7008,122.9911,1619514549,76,81,13.3,4.23
Kushiro,JP,42.975,144.3747,1619514409,20,34,10.0,3.09
Fort-Shevchenko,KZ,44.5086,50.263,1619514549,95,80,13.48,7.46
Noumea,NC,-22.2763,166.4572,1619514334,36,78,21.0,3.6
Zaragoza,ES,41.6561,-0.8773,1619514549,90,88,13.0,0.51
Constitución,CL,-35.3333,-72.4167,1619514476,0,61,12.88,2.3
Ponnāni,IN,10.767,75.9252,1619514550,75,74,30.0,2.57
Safi,MA,32.2994,-9.2372,1619514551,42,78,18.35,5.42
Ixtapa,MX,20.7,-105.2,1619514492,82,82,23.89,1.48
Moussoro,TD,13.6408,16.4901,1619514552,12,5,38.8,9.84
Port-Gentil,GA,-0.7193,8.7815,1619514552,40,74,30.0,3.6
Tamandaré,BR,-8.7597,-35.1047,1619514434,99,84,24.57,0.76
Aklavik,CA,68.2191,-135.0107,1619514552,15,52,-10.0,3.09
Altagracia de Orituco,VE,9.8601,-66.3814,1619514552,73,90,22.1,1.85
Rocha,UY,-34.4833,-54.3333,1619514478,0,88,9.65,2.44
Donghai,CN,22.9459,115.642,1619514480,100,84,22.91,2.78
Esperance,AU,-33.8667,121.9,1619514553,100,46,23.0,3.6
Chernyshevskiy,RU,63.0128,112.4714,1619514553,100,64,-4.02,3.35
Hilo,US,19.7297,-155.09,1619514563,40,83,21.0,1.54
Palu,ID,-0.8917,119.8707,1619514563,82,89,27.51,0.71
Lichuan,CN,30.3,108.85,1619514563,87,72,16.9,0.74
Shitkino,RU,56.3703,98.3543,1619514563,86,74,5.99,1.49
Hargeisa,SO,9.56,44.065,1619514428,75,39,27.19,4.95
Codrington,AU,-38.2667,141.9667,1619514564,8,79,12.2,1.99
Cap Malheureux,MU,-19.9842,57.6142,1619514564,100,81,26.11,4.47
Souillac,MU,-20.5167,57.5167,1619514564,75,100,24.0,6.69
Yerbogachën,RU,61.2767,108.0108,1619514564,100,51,-0.87,2.63
Nantucket,US,41.2835,-70.0995,1619514318,1,53,7.0,4.63
Taltal,CL,-25.4,-70.4833,1619514565,18,83,15.47,1.24
Luocheng,CN,29.3848,104.0286,1619514565,23,39,26.08,3.45
Saint Paul Harbor,US,57.79,-152.4072,1619514565,90,87,6.0,7.72
Juneau,US,58.3019,-134.4197,1619514331,75,70,6.0,3.6
Galle,LK,6.0367,80.217,1619514408,100,69,29.29,3.29
Barcelos,PT,41.5388,-8.6151,1619514441,40,82,17.22,0.51
Karla,EE,59.3723,24.9275,1619514566,90,87,3.33,3.6
Rantepao,ID,-2.9701,119.8978,1619514498,79,96,22.71,0.71
Mahibadhoo,MV,3.7833,72.9667,1619514566,99,70,28.82,2.72
Berkåk,NO,62.825,10.0118,1619514567,92,68,2.78,1.34
Chipinge,ZW,-20.1883,32.6236,1619514567,1,26,28.49,0.63
Russell,US,32.3502,-85.1999,1619514567,1,94,17.0,1.96
Nago,JP,26.5881,127.9761,1619514567,1,38,25.0,2.57
Klaksvík,FO,62.2266,-6.589,1619514567,90,87,6.0,3.09
Ambon City,ID,-3.6954,128.1814,1619514567,40,70,29.0,2.57
Omboué,GA,-1.5746,9.2618,1619514567,100,71,29.17,1.61
Māngrol,IN,21.1167,70.1167,1619514493,15,54,31.45,6.22
Kiryat Gat,IL,31.61,34.7642,1619514496,23,46,24.44,0.89
Yulara,AU,-25.2406,130.9889,1619514568,2,18,26.0,5.66
Marawi,PH,7.9986,124.2928,1619514568,100,80,28.33,1.79
Ponta do Sol,PT,32.6667,-17.1,1619514568,20,59,19.0,5.14
Nouadhibou,MR,20.931,-17.0347,1619514504,20,88,19.0,5.66
Saskylakh,RU,71.9167,114.0833,1619514569,100,94,-5.23,5.11
Saint-Joseph,RE,-21.3667,55.6167,1619514569,90,78,26.0,10.29
Nome,US,64.5011,-165.4064,1619514569,1,70,3.0,3.6
Cayenne,GF,4.9333,-52.3333,1619514463,90,94,24.0,3.09
Hanyang,CN,32.1371,105.5126,1619514570,97,60,20.52,1.99
Yar-Sale,RU,66.8333,70.8333,1619514570,99,99,1.44,8.34
Iporá,BR,-16.4419,-51.1178,1619514461,26,73,18.76,1.67
Yokadouma,CM,3.5167,15.05,1619514570,87,49,31.83,1.45
Boguchany,RU,58.3814,97.4531,1619514570,97,58,6.88,3.06
Selikhino,RU,50.3672,137.4996,1619514571,67,37,13.64,1.23
Lana,IT,46.6124,11.1559,1619514571,75,67,13.0,1.03
Singaraja,ID,-8.112,115.0882,1619514571,83,70,28.35,0.68
Zaysan,KZ,47.4667,84.8667,1619514582,100,26,16.79,3.68
Chiredzi,ZW,-21.05,31.6667,1619514492,0,22,33.94,0.49
Talara,PE,-4.5772,-81.2719,1619514457,100,79,21.27,7.67
Kununurra,AU,-15.7667,128.7333,1619514592,40,49,33.0,2.57
Abbeville,FR,50.1,1.8333,1619514593,52,68,10.0,2.71
Pauini,BR,-7.7136,-66.9764,1619514593,100,99,20.88,1.36
Hasaki,JP,35.7333,140.8333,1619514483,75,67,16.67,5.66
Vardø,NO,70.3705,31.1107,1619514593,75,86,-1.0,4.63
Makaha,US,21.4694,-158.2175,1619514593,1,88,24.0,1.65
Halifax,CA,44.6453,-63.5724,1619514474,100,81,4.0,5.14
Dwārka,IN,22.2394,68.9678,1619514386,0,55,30.55,5.5
Dunedin,NZ,-45.8742,170.5036,1619514500,94,73,7.22,3.13
Te Anau,NZ,-45.4167,167.7167,1619514594,94,89,2.95,0.93
Shawinigan,CA,46.5668,-72.7491,1619514594,47,60,2.78,2.57
Biloela,AU,-24.4167,150.5,1619514594,83,56,21.05,5.15
Shubarshi,KZ,48.5872,57.1869,1619514594,100,53,19.38,6.61
Touros,BR,-5.1989,-35.4608,1619514594,40,100,22.0,1.54
Hamilton,US,39.1834,-84.5333,1619514594,20,67,15.56,2.57
Matagami,CA,49.7502,-77.6328,1619514594,20,93,-7.0,0.92
Lago da Pedra,BR,-4.3333,-45.1667,1619514595,80,98,21.76,0.82
Bagdarin,RU,54.4333,113.6,1619514595,100,49,-1.72,6.14
Faya,SA,18.3851,42.4509,1619514596,75,67,22.0,4.12
Sobolevo,RU,54.4299,31.8996,1619514596,98,50,5.99,4.78
Vuktyl,RU,63.8567,57.3094,1619514596,100,49,7.43,3.99
Khingansk,RU,49.1167,131.1833,1619514596,100,90,8.13,2.37
Lincoln,US,40.8,-96.667,1619514472,1,72,19.44,3.09
Saint-Augustin,CA,51.226,-58.6502,1619514597,100,95,2.26,11.6
Progreso,MX,21.2833,-89.6667,1619514447,40,83,24.0,3.09
Ondjiva,AO,-17.0667,15.7333,1619514597,20,43,24.0,2.06
Alice Springs,AU,-23.7,133.8833,1619514597,0,20,23.33,4.12
Nichinan,JP,31.6,131.3667,1619514370,75,73,21.0,4.63
La Rioja,ES,42.25,-2.5,1619514517,75,94,12.22,2.57
Mossamedes,AO,-15.1961,12.1522,1619514499,40,83,21.0,2.39
Salalah,OM,17.0151,54.0924,1619514470,20,66,30.0,5.66
Palm Valley,US,30.1775,-81.3876,1619514598,96,94,17.78,3.56
São José da Coroa Grande,BR,-8.8978,-35.1478,1619514598,99,83,24.75,0.84
Santa Cruz,MA,30.4202,-9.5982,1619514598,20,73,20.0,0.88
Luleå,SE,65.5842,22.1547,1619514470,40,52,4.0,3.09
Mumbwa,ZM,-14.9783,27.0619,1619514458,13,38,27.34,3.35
Boa Vista,BR,2.8197,-60.6733,1619514598,75,88,24.0,2.57
Shahr-e Kord,IR,32.3256,50.8644,1619514457,20,12,23.0,4.12
Kempten (Allgäu),DE,47.7267,10.3139,1619514598,0,57,13.89,4.12
Antalaha,MG,-14.9003,50.2788,1619514505,58,76,27.29,3.11
Puquio,PE,-14.7,-74.1333,1619514599,7,55,6.92,1.73
Port Blair,IN,11.6667,92.75,1619514442,39,59,30.52,2.49
Kutum,SD,14.2,24.6667,1619514599,13,7,31.78,6.89
Poronaysk,RU,49.2167,143.1167,1619514599,63,73,1.84,4.21
Ginda,IN,30.6945,78.4932,1619514599,1,13,27.92,3.35
Timrå,SE,62.487,17.3257,1619514599,90,42,6.0,5.14
Fortaleza,BR,-3.7227,-38.5247,1619514600,40,94,26.67,3.09
Manta,EC,-0.95,-80.7333,1619514513,75,88,24.0,2.57
Watrous,CA,51.6668,-105.4679,1619514601,4,64,2.0,6.17
Ikom,NG,5.9667,8.7063,1619514601,100,68,30.69,0.72
Davila,PH,18.4726,120.5763,1619514601,40,58,30.0,2.06
Bodden Town,KY,19.2833,-81.25,1619514612,48,1,26.67,3.58
Krasnogvardeyskoye,RU,45.8456,41.5186,1619514612,72,66,12.39,4.82
Saldanha,ZA,-33.0117,17.9442,1619514466,4,88,18.0,1.03
El Dovio,CO,4.5079,-76.2362,1619514613,100,97,16.48,0.97
Khakhea,BW,-24.6895,23.494,1619514613,3,18,27.64,3.52
Araouane,ML,18.9048,-3.5265,1619514613,4,10,36.17,6.11
Matsuura,JP,33.3271,129.721,1619514613,75,53,22.0,8.75
Kumul,CN,42.8,93.45,1619514613,0,9,18.96,4.86
Khovd,MN,48.0056,91.6419,1619514613,99,15,10.77,2.65
El Ejido,ES,36.7763,-2.8146,1619514414,40,88,18.33,3.09
Rovaniemi,FI,66.5,25.7167,1619514463,40,64,1.0,4.63
Shangzhi,CN,45.2167,127.9667,1619514614,100,69,13.32,5.25
Mokhsogollokh,RU,61.4681,128.9203,1619514614,100,82,-1.69,4.49
Rawson,AR,-43.3002,-65.1023,1619514614,21,52,15.18,3.92
Ulkan,RU,57.243,107.3223,1619514614,100,56,0.24,3.93
Makakilo City,US,21.3469,-158.0858,1619514504,75,73,24.0,2.06
Pemangkat,ID,1.1667,108.9667,1619514494,95,75,28.43,2.64
Raja,SS,8.4596,25.678,1619514615,54,32,34.72,2.19
Sioux Lookout,CA,50.1001,-91.917,1619514615,90,86,1.0,1.03
Asău,RO,46.4333,26.4,1619514615,100,60,5.56,1.06
Tuxtla Gutiérrez,MX,16.75,-93.1167,1619514615,7,76,24.48,0.56
Praia,CV,14.9215,-23.5087,1619514500,40,68,22.0,5.14
Chimbote,PE,-9.0853,-78.5783,1619514493,55,96,17.73,3.45
San Cristobal,VE,7.7669,-72.225,1619514617,90,95,18.82,1.15
Kiama,AU,-34.6833,150.8667,1619514618,19,76,18.33,0.45
Balkanabat,TM,39.5108,54.3671,1619514618,17,18,34.8,5.39
Gao,ML,16.6362,1.637,1619514514,85,17,36.93,1.17
Saint-Doulchard,FR,47.1037,2.352,1619514618,0,44,14.0,2.06
Yerofey Pavlovich,RU,53.9667,121.9667,1619514618,100,90,4.99,2.25
